fpr,tpr,threshold
0.000000000000000000e+00,0.000000000000000000e+00,inf
0.000000000000000000e+00,1.123595505617977627e-03,1.000000119209289551e+00
0.000000000000000000e+00,4.269662921348314766e-02,9.936977624893188477e-01
1.464128843338213803e-03,4.269662921348314766e-02,9.936771392822265625e-01
1.464128843338213803e-03,5.617977528089887485e-02,9.931008219718933105e-01
2.928257686676427607e-03,5.617977528089887485e-02,9.930284619331359863e-01
2.928257686676427607e-03,9.662921348314607028e-02,9.898113608360290527e-01
4.392386530014641410e-03,9.662921348314607028e-02,9.895334243774414062e-01
4.392386530014641410e-03,1.123595505617977497e-01,9.886446595191955566e-01
5.856515373352855214e-03,1.123595505617977497e-01,9.886109828948974609e-01
5.856515373352855214e-03,1.134831460674157327e-01,9.883678555488586426e-01
7.320644216691069017e-03,1.134831460674157327e-01,9.882650971412658691e-01
7.320644216691069017e-03,2.056179775280898847e-01,9.817683696746826172e-01
7.320644216691069017e-03,2.078651685393258508e-01,9.812951683998107910e-01
7.320644216691069017e-03,2.134831460674157244e-01,9.811199903488159180e-01
8.784773060029282821e-03,2.134831460674157244e-01,9.811165332794189453e-01
8.784773060029282821e-03,2.179775280898876288e-01,9.808205366134643555e-01
1.024890190336749662e-02,2.179775280898876288e-01,9.807700514793395996e-01
1.024890190336749662e-02,2.258426966292134963e-01,9.802833199501037598e-01
1.024890190336749662e-02,2.303370786516854007e-01,9.801945686340332031e-01
1.024890190336749662e-02,2.337078651685393360e-01,9.801346063613891602e-01
1.171303074670571043e-02,2.337078651685393360e-01,9.800834059715270996e-01
1.171303074670571043e-02,2.471910112359550493e-01,9.794093966484069824e-01
1.317715959004392423e-02,2.471910112359550493e-01,9.791911840438842773e-01
1.317715959004392423e-02,2.550561797752808890e-01,9.789708852767944336e-01
1.464128843338213803e-02,2.550561797752808890e-01,9.788926839828491211e-01
1.464128843338213803e-02,2.764044943820224698e-01,9.779402613639831543e-01
1.610541727672035184e-02,2.764044943820224698e-01,9.779295921325683594e-01
1.610541727672035184e-02,2.853932584269662787e-01,9.774075150489807129e-01
1.756954612005856564e-02,2.853932584269662787e-01,9.774040579795837402e-01
1.756954612005856564e-02,2.887640449438202417e-01,9.772942066192626953e-01
1.903367496339677944e-02,2.887640449438202417e-01,9.772537946701049805e-01
1.903367496339677944e-02,2.932584269662921184e-01,9.770617485046386719e-01
2.049780380673499325e-02,2.932584269662921184e-01,9.770308136940002441e-01
2.049780380673499325e-02,3.067415730337078594e-01,9.766376018524169922e-01
2.196193265007320705e-02,3.067415730337078594e-01,9.766159057617187500e-01
2.196193265007320705e-02,3.078651685393258286e-01,9.764208793640136719e-01
2.342606149341142086e-02,3.078651685393258286e-01,9.763435125350952148e-01
2.342606149341142086e-02,3.123595505617977608e-01,9.761959910392761230e-01
2.489019033674963466e-02,3.123595505617977608e-01,9.761937856674194336e-01
2.489019033674963466e-02,3.157303370786516683e-01,9.760005474090576172e-01
2.635431918008784846e-02,3.157303370786516683e-01,9.759526848793029785e-01
2.635431918008784846e-02,3.179775280898876622e-01,9.758766889572143555e-01
2.928257686676427607e-02,3.179775280898876622e-01,9.756855368614196777e-01
2.928257686676427607e-02,3.292134831460674094e-01,9.748480319976806641e-01
3.074670571010248987e-02,3.292134831460674094e-01,9.748333692550659180e-01
3.074670571010248987e-02,3.426966292134831504e-01,9.740514755249023438e-01
3.513909224011713128e-02,3.426966292134831504e-01,9.739073514938354492e-01
3.513909224011713128e-02,3.438202247191011196e-01,9.737282991409301758e-01
3.660322108345534509e-02,3.438202247191011196e-01,9.736990332603454590e-01
3.660322108345534509e-02,3.471910112359550826e-01,9.735535383224487305e-01
3.806734992679355889e-02,3.471910112359550826e-01,9.734640121459960938e-01
3.806734992679355889e-02,3.516853932584269593e-01,9.732198715209960938e-01
3.953147877013177269e-02,3.516853932584269593e-01,9.730473756790161133e-01
3.953147877013177269e-02,3.528089887640449285e-01,9.729989767074584961e-01
4.099560761346998650e-02,3.528089887640449285e-01,9.729090929031372070e-01
4.099560761346998650e-02,3.539325842696628976e-01,9.729050397872924805e-01
4.245973645680820030e-02,3.539325842696628976e-01,9.728829860687255859e-01
4.245973645680820030e-02,3.561797752808988915e-01,9.726911783218383789e-01
4.392386530014641410e-02,3.561797752808988915e-01,9.726910591125488281e-01
4.392386530014641410e-02,3.595505617977527990e-01,9.724864959716796875e-01
4.685212298682284171e-02,3.595505617977527990e-01,9.723592996597290039e-01
4.685212298682284171e-02,3.606741573033707682e-01,9.723533391952514648e-01
4.831625183016105551e-02,3.606741573033707682e-01,9.720411300659179688e-01
4.831625183016105551e-02,3.629213483146067620e-01,9.719704389572143555e-01
4.978038067349926932e-02,3.629213483146067620e-01,9.718918204307556152e-01
4.978038067349926932e-02,3.764044943820224476e-01,9.711558818817138672e-01
5.124450951683748312e-02,3.764044943820224476e-01,9.710334539413452148e-01
5.124450951683748312e-02,3.932584269662921517e-01,9.700508713722229004e-01
5.270863836017569692e-02,3.932584269662921517e-01,9.700490236282348633e-01
5.270863836017569692e-02,3.943820224719101208e-01,9.699746370315551758e-01
5.417276720351391073e-02,3.943820224719101208e-01,9.698765277862548828e-01
5.417276720351391073e-02,3.955056179775280900e-01,9.698630571365356445e-01
5.563689604685212453e-02,3.955056179775280900e-01,9.697396159172058105e-01
5.563689604685212453e-02,3.988764044943819975e-01,9.694696664810180664e-01
5.710102489019033833e-02,3.988764044943819975e-01,9.692687392234802246e-01
5.710102489019033833e-02,4.000000000000000222e-01,9.691829681396484375e-01
5.856515373352855214e-02,4.000000000000000222e-01,9.691169261932373047e-01
5.856515373352855214e-02,4.089887640449438311e-01,9.684585332870483398e-01
6.002928257686676594e-02,4.089887640449438311e-01,9.684465527534484863e-01
6.002928257686676594e-02,4.247191011235955105e-01,9.673399925231933594e-01
6.295754026354319355e-02,4.247191011235955105e-01,9.673227071762084961e-01
6.295754026354319355e-02,4.280898876404494180e-01,9.670550823211669922e-01
6.442166910688140735e-02,4.280898876404494180e-01,9.670402407646179199e-01
6.442166910688140735e-02,4.471910112359550604e-01,9.659981727600097656e-01
6.734992679355783496e-02,4.471910112359550604e-01,9.658474922180175781e-01
6.734992679355783496e-02,4.584269662921348076e-01,9.647613167762756348e-01
6.881405563689604876e-02,4.584269662921348076e-01,9.647012948989868164e-01
6.881405563689604876e-02,4.595505617977528323e-01,9.646530747413635254e-01
7.027818448023426257e-02,4.595505617977528323e-01,9.644293785095214844e-01
7.027818448023426257e-02,4.629213483146067398e-01,9.642554521560668945e-01
7.174231332357247637e-02,4.629213483146067398e-01,9.641650319099426270e-01
7.174231332357247637e-02,4.685393258426966412e-01,9.635315537452697754e-01
7.320644216691069017e-02,4.685393258426966412e-01,9.634708762168884277e-01
7.320644216691069017e-02,4.741573033707865426e-01,9.628646969795227051e-01
7.467057101024890398e-02,4.741573033707865426e-01,9.628196954727172852e-01
7.467057101024890398e-02,4.831460674157303514e-01,9.624564647674560547e-01
7.613469985358711778e-02,4.831460674157303514e-01,9.624241590499877930e-01
7.613469985358711778e-02,4.898876404494382220e-01,9.622233510017395020e-01
7.759882869692533158e-02,4.898876404494382220e-01,9.621688127517700195e-01
7.759882869692533158e-02,5.056179775280899014e-01,9.610247015953063965e-01
7.906295754026354539e-02,5.056179775280899014e-01,9.610204696655273438e-01
7.906295754026354539e-02,5.089887640449438644e-01,9.609100818634033203e-01
8.052708638360175919e-02,5.089887640449438644e-01,9.607095718383789062e-01
8.052708638360175919e-02,5.157303370786516794e-01,9.602593779563903809e-01
8.199121522693997299e-02,5.157303370786516794e-01,9.602342844009399414e-01
8.199121522693997299e-02,5.191011235955056424e-01,9.601529836654663086e-01
8.345534407027818680e-02,5.191011235955056424e-01,9.600751399993896484e-01
8.345534407027818680e-02,5.224719101123596054e-01,9.599468708038330078e-01
8.491947291361640060e-02,5.224719101123596054e-01,9.598810076713562012e-01
8.491947291361640060e-02,5.258426966292134574e-01,9.596656560897827148e-01
8.638360175695461440e-02,5.258426966292134574e-01,9.595155715942382812e-01
8.638360175695461440e-02,5.280898876404493958e-01,9.594721794128417969e-01
8.784773060029282821e-02,5.280898876404493958e-01,9.592883586883544922e-01
8.784773060029282821e-02,5.348314606741573218e-01,9.590377807617187500e-01
9.077598828696925581e-02,5.348314606741573218e-01,9.589155912399291992e-01
9.077598828696925581e-02,5.393258426966291985e-01,9.585583209991455078e-01
9.224011713030746962e-02,5.393258426966291985e-01,9.585191011428833008e-01
9.224011713030746962e-02,5.516853932584269149e-01,9.578170776367187500e-01
9.370424597364568342e-02,5.516853932584269149e-01,9.576722979545593262e-01
9.370424597364568342e-02,5.528089887640449396e-01,9.576312303543090820e-01
9.516837481698389722e-02,5.528089887640449396e-01,9.575681686401367188e-01
9.516837481698389722e-02,5.539325842696629643e-01,9.575354456901550293e-01
9.809663250366032483e-02,5.539325842696629643e-01,9.574558734893798828e-01
9.809663250366032483e-02,5.640449438202247423e-01,9.565511941909790039e-01
9.956076134699853863e-02,5.640449438202247423e-01,9.563465714454650879e-01
9.956076134699853863e-02,5.662921348314606806e-01,9.561986923217773438e-01
1.010248901903367524e-01,5.662921348314606806e-01,9.561966061592102051e-01
1.010248901903367524e-01,5.741573033707865203e-01,9.556350708007812500e-01
1.024890190336749662e-01,5.741573033707865203e-01,9.554131031036376953e-01
1.024890190336749662e-01,5.786516853932583970e-01,9.548268914222717285e-01
1.039531478770131800e-01,5.786516853932583970e-01,9.548076391220092773e-01
1.039531478770131800e-01,5.876404494382022614e-01,9.539446830749511719e-01
1.083455344070278215e-01,5.876404494382022614e-01,9.536802768707275391e-01
1.083455344070278215e-01,5.932584269662921628e-01,9.533126354217529297e-01
1.098096632503660353e-01,5.932584269662921628e-01,9.531998038291931152e-01
1.098096632503660353e-01,5.966292134831460148e-01,9.531468749046325684e-01
1.112737920937042491e-01,5.966292134831460148e-01,9.530560374259948730e-01
1.112737920937042491e-01,5.977528089887640395e-01,9.527781009674072266e-01
1.142020497803806767e-01,5.977528089887640395e-01,9.524067640304565430e-01
1.142020497803806767e-01,6.022471910112359161e-01,9.522864818572998047e-01
1.156661786237188905e-01,6.022471910112359161e-01,9.522848129272460938e-01
1.156661786237188905e-01,6.044943820224719655e-01,9.518136978149414062e-01
1.171303074670571043e-01,6.044943820224719655e-01,9.517158269882202148e-01
1.171303074670571043e-01,6.089887640449438422e-01,9.516533613204956055e-01
1.185944363103953181e-01,6.089887640449438422e-01,9.516294002532958984e-01
1.185944363103953181e-01,6.123595505617978052e-01,9.512462615966796875e-01
1.200585651537335319e-01,6.123595505617978052e-01,9.511769413948059082e-01
1.200585651537335319e-01,6.134831460674157189e-01,9.511388540267944336e-01
1.215226939970717457e-01,6.134831460674157189e-01,9.510267376899719238e-01
1.215226939970717457e-01,6.235955056179774969e-01,9.502011537551879883e-01
1.229868228404099595e-01,6.235955056179774969e-01,9.501594305038452148e-01
1.229868228404099595e-01,6.292134831460673983e-01,9.496787190437316895e-01
1.244509516837481733e-01,6.292134831460673983e-01,9.496665596961975098e-01
1.244509516837481733e-01,6.303370786516854229e-01,9.496350288391113281e-01
1.273792093704246009e-01,6.303370786516854229e-01,9.495320916175842285e-01
1.273792093704246009e-01,6.348314606741572996e-01,9.492585659027099609e-01
1.288433382137628147e-01,6.348314606741572996e-01,9.492579698562622070e-01
1.288433382137628147e-01,6.393258426966291763e-01,9.489206075668334961e-01
1.303074670571010285e-01,6.393258426966291763e-01,9.488854408264160156e-01
1.303074670571010285e-01,6.404494382022472010e-01,9.488755464553833008e-01
1.317715959004392423e-01,6.404494382022472010e-01,9.487185478210449219e-01
1.317715959004392423e-01,6.415730337078651146e-01,9.485879540443420410e-01
1.332357247437774561e-01,6.415730337078651146e-01,9.485284090042114258e-01
1.332357247437774561e-01,6.438202247191011640e-01,9.485089182853698730e-01
1.346998535871156699e-01,6.438202247191011640e-01,9.484798908233642578e-01
1.346998535871156699e-01,6.471910112359550160e-01,9.482190012931823730e-01
1.361639824304538837e-01,6.471910112359550160e-01,9.481916427612304688e-01
1.361639824304538837e-01,6.483146067415730407e-01,9.481468200683593750e-01
1.390922401171303113e-01,6.483146067415730407e-01,9.477588534355163574e-01
1.390922401171303113e-01,6.516853932584270037e-01,9.475439786911010742e-01
1.420204978038067389e-01,6.516853932584270037e-01,9.474463462829589844e-01
1.420204978038067389e-01,6.539325842696629421e-01,9.472894668579101562e-01
1.464128843338213803e-01,6.539325842696629421e-01,9.470819830894470215e-01
1.464128843338213803e-01,6.584269662921348187e-01,9.467557668685913086e-01
1.478770131771595941e-01,6.584269662921348187e-01,9.466723203659057617e-01
1.478770131771595941e-01,6.606741573033707571e-01,9.466210603713989258e-01
1.522693997071742356e-01,6.606741573033707571e-01,9.464257359504699707e-01
1.522693997071742356e-01,6.640449438202247201e-01,9.463344812393188477e-01
1.537335285505124494e-01,6.640449438202247201e-01,9.463262557983398438e-01
1.537335285505124494e-01,6.662921348314606584e-01,9.462114572525024414e-01
1.551976573938506632e-01,6.662921348314606584e-01,9.461541175842285156e-01
1.551976573938506632e-01,6.674157303370786831e-01,9.461425542831420898e-01
1.566617862371888770e-01,6.674157303370786831e-01,9.460034370422363281e-01
1.566617862371888770e-01,6.752808988764045228e-01,9.452749490737915039e-01
1.581259150805270908e-01,6.752808988764045228e-01,9.451400041580200195e-01
1.581259150805270908e-01,6.786516853932583748e-01,9.448670148849487305e-01
1.595900439238653046e-01,6.786516853932583748e-01,9.447500705718994141e-01
1.595900439238653046e-01,6.831460674157303625e-01,9.445013999938964844e-01
1.610541727672035184e-01,6.831460674157303625e-01,9.440514445304870605e-01
1.610541727672035184e-01,6.932584269662921406e-01,9.432826042175292969e-01
1.625183016105417322e-01,6.932584269662921406e-01,9.428604841232299805e-01
1.625183016105417322e-01,6.943820224719101653e-01,9.428598284721374512e-01
1.639824304538799460e-01,6.943820224719101653e-01,9.428052902221679688e-01
1.639824304538799460e-01,6.977528089887640173e-01,9.424238801002502441e-01
1.669106881405563736e-01,6.977528089887640173e-01,9.423094987869262695e-01
1.669106881405563736e-01,6.988764044943820419e-01,9.422481060028076172e-01
1.683748169838945874e-01,6.988764044943820419e-01,9.422205686569213867e-01
1.683748169838945874e-01,6.999999999999999556e-01,9.420702457427978516e-01
1.698389458272328012e-01,6.999999999999999556e-01,9.420192241668701172e-01
1.698389458272328012e-01,7.022471910112360050e-01,9.419669508934020996e-01
1.713030746705710150e-01,7.022471910112360050e-01,9.419604539871215820e-01
1.713030746705710150e-01,7.067415730337078816e-01,9.416290521621704102e-01
1.727672035139092288e-01,7.067415730337078816e-01,9.414778947830200195e-01
1.727672035139092288e-01,7.112359550561797583e-01,9.409139156341552734e-01
1.742313323572474426e-01,7.112359550561797583e-01,9.408988952636718750e-01
1.742313323572474426e-01,7.157303370786516350e-01,9.407429099082946777e-01
1.756954612005856564e-01,7.157303370786516350e-01,9.404502511024475098e-01
1.756954612005856564e-01,7.168539325842696597e-01,9.404429197311401367e-01
1.771595900439238702e-01,7.168539325842696597e-01,9.403828382492065430e-01
1.771595900439238702e-01,7.213483146067415364e-01,9.401673078536987305e-01
1.800878477306002978e-01,7.213483146067415364e-01,9.400372505187988281e-01
1.800878477306002978e-01,7.269662921348314377e-01,9.385716915130615234e-01
1.815519765739385116e-01,7.269662921348314377e-01,9.381299018859863281e-01
1.815519765739385116e-01,7.303370786516854007e-01,9.378678798675537109e-01
1.830161054172767254e-01,7.303370786516854007e-01,9.377901554107666016e-01
1.830161054172767254e-01,7.348314606741572774e-01,9.375578761100769043e-01
1.844802342606149392e-01,7.348314606741572774e-01,9.375104904174804688e-01
1.844802342606149392e-01,7.359550561797753021e-01,9.374525547027587891e-01
1.888726207906295806e-01,7.359550561797753021e-01,9.369392991065979004e-01
1.888726207906295806e-01,7.415730337078652035e-01,9.363285303115844727e-01
1.903367496339677944e-01,7.415730337078652035e-01,9.362370967864990234e-01
1.903367496339677944e-01,7.438202247191011418e-01,9.360887408256530762e-01
1.918008784773060083e-01,7.438202247191011418e-01,9.359759092330932617e-01
1.918008784773060083e-01,7.449438202247190555e-01,9.359690546989440918e-01
1.947291361639824359e-01,7.449438202247190555e-01,9.356893897056579590e-01
1.947291361639824359e-01,7.460674157303370801e-01,9.356331825256347656e-01
1.961932650073206497e-01,7.460674157303370801e-01,9.351713657379150391e-01
1.961932650073206497e-01,7.494382022471910432e-01,9.345643520355224609e-01
1.976573938506588635e-01,7.494382022471910432e-01,9.342563152313232422e-01
1.976573938506588635e-01,7.528089887640448952e-01,9.341022372245788574e-01
1.991215226939970773e-01,7.528089887640448952e-01,9.338958859443664551e-01
1.991215226939970773e-01,7.539325842696629199e-01,9.338476657867431641e-01
2.005856515373352911e-01,7.539325842696629199e-01,9.338176250457763672e-01
2.005856515373352911e-01,7.550561797752809445e-01,9.336732625961303711e-01
2.020497803806735049e-01,7.550561797752809445e-01,9.336587190628051758e-01
2.020497803806735049e-01,7.573033707865168829e-01,9.334464669227600098e-01
2.049780380673499325e-01,7.573033707865168829e-01,9.333895444869995117e-01
2.049780380673499325e-01,7.584269662921347965e-01,9.329548478126525879e-01
